author,added,deleted,commits
james.howes,1441,100534,34
dependabot[bot],36859,34448,260
Taher Kapasi,15499,13445,72
Alex Whitehead-Smith,20259,3499,163
Peter Fajemisin,11138,9347,112
Dana Cotoran,13508,6784,164
Huw Diprose,11352,8888,127
Karla Gardiner,8632,6321,33
Saral Kaushik,9927,3581,166
Dougal Rees,7683,5778,31
Andrew Moores,7947,3482,77
Latif Muhammad,7274,3614,94
Alfonso Patino,6347,2796,74
domiliauskas,4248,3557,37
domantas-gds,2954,1711,10
Divya,2494,2097,55
Chiara,2292,1312,4
Chris Clayson,2337,1176,84
dbes-gds,2140,1370,49
Latif,2486,888,45
Jessica Li,1858,1314,16
Ana Hickmann,835,1357,22
chiarapascucci-gds,1355,817,21
ayoshebby,849,789,5
Sophia Wokoma,684,653,3
Alfonso Enciso,856,172,6
danacotoran,330,437,5
Mina Mahdi,521,198,25
Sandeep Nagra,249,421,7
DTaylorGDS,399,187,11
JHjava,161,270,7
divyaparameswaran,256,99,18
di-aholme,45,282,2
â€œDomantas,254,43,14
MinaMahdi,265,1,2
chrisclayson,3,255,2
Gwyn Jones,162,61,13
peterfajemisincabinetoffice,71,126,1
Alex Wilson,77,46,5
Dominic Taylor,57,28,2
SophiaDWokoma,7,2,2
Dan Sparks,2,2,1
Philip Potter,2,2,2
louiseli1,0,3,1
Andy Goldschmidt,1,1,1
Ana-Maria Diaconu,1,1,1
